rule_id,min_gcs_total,max_gcs_total,seizure,vomiting,head_external_hemorrhage,suspected_icp,location_contains,required_march_flag,min_systolic_bp,max_systolic_bp,min_spo2,max_spo2,min_heart_rate,max_heart_rate,min_temp_c,max_temp_c,item_id,quantity,rationale,requires_manual_review_on_missing
rule-low-gcs-monitoring,,8,,,,,,,,,,,,,,,tbi_detection_monitoring_kit,1,Low GCS requires TBI monitoring support,true
rule-airway-march,,,,,,,,airway_compromised,,,,,,,,,airway_support_kit,1,Airway-compromised MARCH status requires airway support,true
rule-respiratory-march,,,,,,,,respiratory_compromise,,,,,,,,,airway_support_kit,1,Respiratory compromise requires airway and breathing support,true
rule-seizure-pentobarbital,,,true,,,,,,,,,,,,,,pentobarbital_sedation_kit,1,Active seizure requires seizure control medications,true
rule-seizure-benzodiazepine,,,true,,,,,,,,,,,,,,benzodiazepine_sedation_kit,1,Active seizure requires seizure control medications,true
rule-head-hemorrhage,,,,,true,,,,,,,,,,,,hemostatic_dressing_bundle,2,External head hemorrhage requires hemorrhage control dressings,true
rule-massive-hemorrhage-march,,,,,,,,massive_hemorrhage,,,,,,,,,hemostatic_dressing_bundle,2,Massive hemorrhage MARCH status requires hemorrhage control dressings,true
rule-suspected-icp,,,,,,true,,,,,,,,,,,hypertonic_saline_kit,1,Suspected ICP elevation requires hypertonic saline,true
rule-circulatory-march,,,,,,,,circulatory_compromise,,,,,,,,,iv_fluid_bundle,1,Circulatory compromise requires fluid support,false
rule-hypothermia-march,,,,,,,,hypothermia,,,,,,,,,iv_fluid_bundle,1,Hypothermia risk requires thermal and fluid support,false
